Date,Open,High,Low,Close*,Adj Close**,Volume
1-Mar-12,"2,979.11","3,134.17","2,900.28","3,091.57","3,091.57","36,686,310,000"
1-Feb-12,"2,830.10","3,000.11","2,825.19","2,966.89","2,966.89","37,728,460,000"
1-Jan-12,"2,657.39","2,834.30","2,627.23","2,813.84","2,813.84","35,325,900,000"
1-Dec-11,"2,615.67","2,674.53","2,518.01","2,605.15","2,605.15","33,177,490,000"
1-Nov-11,"2,607.31","2,730.39","2,441.48","2,620.34","2,620.34","38,397,210,000"
1-Oct-11,"2,401.19","2,753.37","2,298.89","2,684.41","2,684.41","42,787,830,000"
1-Sep-11,"2,583.34","2,643.37","2,414.31","2,415.40","2,415.40","42,996,470,000"
1-Aug-11,"2,791.45","2,796.24","2,331.65","2,579.46","2,579.46","56,977,870,000"
1-Jul-11,"2,775.08","2,878.94","2,724.99","2,756.38","2,756.38","37,282,980,000"
1-Jun-11,"2,829.39","2,834.05","2,599.86","2,773.52","2,773.52","42,570,710,000"
1-May-11,"2,881.28","2,887.75","2,739.85","2,835.30","2,835.30","42,067,110,000"
1-Apr-11,"2,796.67","2,876.83","2,706.50","2,873.54","2,873.54","38,024,600,000"
1-Mar-11,"2,791.08","2,802.32","2,603.50","2,781.07","2,781.07","45,049,990,000"
1-Feb-11,"2,717.61","2,840.51","2,705.54","2,782.27","2,782.27","39,225,340,000"
1-Jan-11,"2,676.65","2,766.17","2,663.64","2,700.08","2,700.08","40,221,760,000"
1-Dec-10,"2,535.19","2,675.26","2,535.19","2,652.87","2,652.87","36,306,890,000"
1-Nov-10,"2,520.45","2,592.94","2,459.79","2,498.23","2,498.23","40,893,560,000"
1-Oct-10,"2,386.82","2,517.50","2,332.46","2,507.41","2,507.41","41,539,760,000"
1-Sep-10,"2,142.75","2,400.06","2,141.95","2,368.62","2,368.62","41,586,870,000"
1-Aug-10,"2,283.32","2,309.43","2,099.29","2,114.03","2,114.03","41,794,240,000"
1-Jul-10,"2,110.75","2,307.60","2,061.14","2,254.70","2,254.70","43,910,370,000"
1-Jun-10,"2,244.79","2,341.11","2,105.26","2,109.24","2,109.24","48,633,730,000"
1-May-10,"2,472.32","2,503.00","2,140.53","2,257.04","2,257.04","57,203,120,000"
1-Apr-10,"2,411.68","2,535.28","2,383.77","2,461.19","2,461.19","54,528,540,000"
1-Mar-10,"2,247.40","2,432.25","2,247.33","2,397.96","2,397.96","54,955,550,000"
1-Feb-10,"2,155.81","2,251.68","2,100.17","2,238.26","2,238.26","42,835,360,000"
1-Jan-10,"2,294.41","2,326.28","2,140.34","2,147.35","2,147.35","45,625,830,000"
1-Dec-09,"2,162.23","2,295.80","2,155.96","2,269.15","2,269.15","39,269,070,000"
1-Nov-09,"2,047.42","2,205.32","2,024.27","2,144.60","2,144.60","38,877,300,000"
1-Oct-09,"2,111.77","2,190.64","2,040.21","2,045.11","2,045.11","50,489,640,000"
1-Sep-09,"2,001.30","2,167.70","1,958.04","2,122.42","2,122.42","49,652,910,000"
1-Aug-09,"1,998.35","2,059.48","1,929.64","2,009.06","2,009.06","44,011,670,000"
1-Jul-09,"1,846.12","2,009.81","1,727.05","1,978.50","1,978.50","47,084,360,000"
1-Jun-09,"1,796.09","1,879.92","1,753.78","1,835.04","1,835.04","51,881,250,000"
1-May-09,"1,719.29","1,774.33","1,664.19","1,774.33","1,774.33","47,352,030,000"
1-Apr-09,"1,504.87","1,753.61","1,498.54","1,717.30","1,717.30","48,683,640,000"
1-Mar-09,"1,356.13","1,587.00","1,265.52","1,528.59","1,528.59","49,480,930,000"
1-Feb-09,"1,460.85","1,598.50","1,372.42","1,377.84","1,377.84","42,380,620,000"
1-Jan-09,"1,578.87","1,665.63","1,434.08","1,476.42","1,476.42","39,995,600,000"
1-Dec-08,"1,496.09","1,602.92","1,398.07","1,577.03","1,577.03","39,619,890,000"
1-Nov-08,"1,718.89","1,785.84","1,295.48","1,535.57","1,535.57","41,933,210,000"
1-Oct-08,"2,075.10","2,083.20","1,493.79","1,720.95","1,720.95","62,537,120,000"
1-Sep-08,"2,402.11","2,413.11","1,983.73","2,091.88","2,091.88","51,722,940,000"
1-Aug-08,"2,326.83","2,473.20","2,280.93","2,367.52","2,367.52","39,482,890,000"
1-Jul-08,"2,274.24","2,353.39","2,167.29","2,325.55","2,325.55","50,672,460,000"
1-Jun-08,"2,514.82","2,549.94","2,290.59","2,292.98","2,292.98","45,968,100,000"
1-May-08,"2,416.49","2,551.47","2,416.49","2,522.66","2,522.66","42,783,110,000"
1-Apr-08,"2,306.51","2,451.19","2,266.29","2,412.80","2,412.80","42,726,250,000"
1-Mar-08,"2,271.26","2,346.78","2,155.42","2,279.10","2,279.10","44,966,440,000"
1-Feb-08,"2,392.58","2,419.23","2,252.65","2,271.48","2,271.48","45,767,570,000"
1-Jan-08,"2,653.91","2,661.50","2,202.54","2,389.86","2,389.86","55,211,960,000"
1-Dec-07,"2,654.91","2,734.82","2,553.99","2,652.28","2,652.28","37,753,390,000"
1-Nov-07,"2,835.00","2,835.63","2,539.81","2,660.96","2,660.96","50,214,790,000"
1-Oct-07,"2,704.25","2,861.51","2,698.14","2,859.12","2,859.12","48,751,620,000"
1-Sep-07,"2,596.38","2,716.75","2,536.93","2,701.50","2,701.50","35,257,250,000"
1-Aug-07,"2,538.50","2,627.75","2,386.69","2,596.36","2,596.36","52,126,030,000"
1-Jul-07,"2,617.39","2,724.74","2,545.90","2,546.27","2,546.27","45,107,360,000"
1-Jun-07,"2,614.01","2,634.60","2,534.97","2,603.23","2,603.23","45,340,310,000"
1-May-07,"2,529.95","2,607.90","2,510.57","2,604.52","2,604.52","44,252,460,000"
1-Apr-07,"2,425.36","2,562.99","2,409.04","2,525.09","2,525.09","39,717,000,000"
1-Mar-07,"2,377.18","2,459.96","2,331.57","2,421.64","2,421.64","43,563,900,000"
1-Feb-07,"2,474.08","2,531.42","2,395.35","2,416.15","2,416.15","39,700,560,000"
1-Jan-07,"2,429.72","2,508.93","2,394.66","2,463.93","2,463.93","42,688,490,000"
